Scenario_ID,Split,Mean_Arrive_time,Std_Arrive_time,Mean_Duration_of_stay,Std_Duration_of_stay,Station_0_Count,Station_1_Count,Station_2_Count,Station_3_Count,Station_4_Count,Station_5_Count,Station_6_Count,Station_7_Count,Station_8_Count
train_day_0032,train,55.79360465116279,13.67504367688197,5.872093023255814,2.4294535304185083,62,40,42,40,20,72,25,20,23
train_day_0033,train,53.23837209302326,12.41511333860404,5.8313953488372094,2.514042497832644,66,22,78,32,34,29,37,27,19
train_day_0034,train,57.50581395348837,14.677342566098128,5.537790697674419,2.101707999302489,28,65,66,49,47,6,27,40,16
train_day_0035,train,55.13081395348837,15.444867568911059,5.892441860465116,2.260003825910793,33,45,63,52,51,23,18,34,25
train_day_0036,train,54.24418604651163,16.49872161820891,5.752906976744186,2.320282844766725,42,62,49,55,42,15,36,41,2
train_day_0037,train,56.14825581395349,12.986513459798822,5.688953488372093,2.1658810598180427,24,57,55,40,51,48,44,0,25
train_day_0038,train,56.67732558139535,13.323259860582223,5.453488372093023,2.083473043810118,52,36,41,34,67,49,17,16,32
train_day_0039,train,55.98255813953488,14.46486273426189,6.401162790697675,2.699396753714486,55,35,67,16,68,38,27,25,13
train_day_0040,train,57.57267441860465,13.825551750999963,5.944767441860465,2.4695533099262863,55,58,42,28,64,28,36,18,15
train_day_0041,train,57.098837209302324,11.701550227114579,5.784883720930233,2.377267213647601,57,45,61,22,7,79,28,12,33
train_day_0042,train,53.33720930232558,14.431965864830556,5.473837209302325,2.167254006107166,87,61,43,44,16,40,31,4,18
train_day_0043,train,55.68604651162791,14.78293455770442,5.575581395348837,2.2887711766772907,56,68,22,50,36,27,32,30,23
train_day_0044,train,53.94767441860465,11.72369124687853,5.255813953488372,2.0808431123969804,62,63,22,50,14,45,22,37,29
train_day_0045,train,54.51162790697674,12.950032940648157,5.953488372093023,2.5763096770750162,69,67,28,53,47,25,15,28,12
train_day_0046,train,56.700581395348834,13.093820649331622,5.784883720930233,2.534690359597661,59,32,29,41,76,29,49,18,11
train_day_0047,train,52.718023255813954,16.459220948514464,5.531976744186046,2.396489836060835,37,69,42,68,41,14,30,33,10
train_day_0048,train,54.63662790697674,13.946281750900498,5.9476744186046515,2.450117545551644,62,34,47,35,22,67,25,18,34
train_day_0049,train,55.35755813953488,15.080503001607854,5.613372093023256,2.3794044156415883,40,75,37,43,33,30,38,29,19
train_day_0050,train,56.991279069767444,13.637219700315685,5.912790697674419,2.5319951004594534,51,77,49,47,37,27,8,37,11
train_day_0051,train,57.60174418604651,13.417322081605406,6.0145348837209305,2.436953472171209,67,37,57,19,45,39,25,32,23
train_day_0052,train,56.20348837209303,14.093928658843225,5.875,2.492794849720028,50,71,35,55,41,25,18,35,14
train_day_0053,train,55.741279069767444,13.324437009487287,5.526162790697675,2.282239653052305,79,55,44,30,14,47,21,16,38
train_day_0054,train,53.73837209302326,11.457004241385624,5.930232558139535,2.46152107291982,70,49,57,38,21,59,4,31,15
train_day_0055,train,54.66279069767442,13.598572484174776,5.633720930232558,2.3239456456596677,56,61,70,38,13,48,24,4,30
train_day_0056,train,55.44476744186046,12.996528000285146,6.093023255813954,2.6909750414817624,66,30,53,44,43,36,24,18,30
train_day_0057,train,55.61918604651163,12.998335467238682,5.604651162790698,2.3956310513362764,35,68,36,37,49,25,69,4,21
train_day_0058,train,53.47093023255814,14.838051071477807,5.843023255813954,2.27698498619691,79,59,56,28,15,60,26,0,21
train_day_0059,train,53.57267441860465,11.657438879083953,5.877906976744186,2.537436041709284,59,68,54,36,8,36,24,25,34
train_day_0060,train,53.80232558139535,12.271937895375377,5.979651162790698,2.51209721875013,92,52,78,27,16,40,18,18,3
train_day_0061,train,56.218023255813954,15.491618913386642,5.805232558139535,2.394246119512452,46,48,53,62,49,10,39,37,0
train_day_0062,train,53.66279069767442,10.671479556881357,5.578488372093023,2.3026026818211407,73,59,43,45,23,42,2,26,31
train_day_0063,train,57.52906976744186,13.534592770388358,5.273255813953488,1.998774299915096,51,33,35,52,60,41,23,16,33
train_day_0064,train,56.968023255813954,13.547145096976298,5.619186046511628,2.0609276050588656,73,46,48,21,51,42,30,18,15
train_day_0065,train,57.30523255813954,12.678372743023175,5.90406976744186,2.325187103202653,31,44,60,63,41,33,24,14,34
train_day_0066,train,57.473837209302324,13.535457799201485,6.200581395348837,2.798026652902281,50,62,55,61,32,13,27,31,13
train_day_0067,train,56.997093023255815,12.422667425641357,5.630813953488372,2.232238273476365,72,51,43,16,51,27,41,15,28
train_day_0068,train,51.854651162790695,13.8424201152022,5.625,2.2520178290425634,52,64,46,28,37,34,38,31,14
train_day_0069,train,54.2906976744186,13.200040767264184,5.622093023255814,2.3704038103042304,48,71,33,47,47,22,43,14,19
train_day_0070,train,56.098837209302324,12.519593891419056,5.9186046511627906,2.5264420992590746,60,28,67,45,42,20,44,25,13
train_day_0071,train,53.98837209302326,11.405317187198984,5.9476744186046515,2.52375812168826,57,69,48,38,28,33,16,24,31
train_day_0072,train,54.09011627906977,13.894348691747826,5.811046511627907,2.4451649152875046,54,52,63,47,54,15,29,10,20
train_day_0073,train,56.53779069767442,15.45675782823952,5.723837209302325,2.3345014250866813,56,63,63,25,44,18,36,27,12
train_day_0074,train,56.24418604651163,13.012012380794326,5.700581395348837,2.3453069688760397,62,66,57,34,18,47,20,8,32
train_day_0075,train,54.174418604651166,12.848347880822288,5.8313953488372094,2.501290905220044,52,52,55,54,55,23,27,10,16
train_day_0076,train,53.84011627906977,14.232721715411273,5.424418604651163,1.954448476687467,65,46,55,29,27,29,49,28,16
train_day_0077,train,54.58139534883721,11.35854878983848,5.848837209302325,2.4016343362650145,64,59,43,59,25,36,6,25,27
train_day_0078,train,55.46220930232558,14.24857282948446,5.563953488372093,2.1891600168174135,55,51,65,35,48,14,45,20,11
train_day_0079,train,56.73837209302326,13.007874793841015,5.659883720930233,2.399858520144831,82,43,77,38,12,23,16,31,22
train_day_0080,train,55.531976744186046,14.241648741742653,5.8226744186046515,2.341599991865334,49,13,49,52,52,35,59,20,15
train_day_0081,train,54.799418604651166,13.941860162053647,5.811046511627907,2.4140564766084642,39,86,33,33,55,10,43,32,13
train_day_0082,train,56.473837209302324,14.63825075874248,5.450581395348837,2.173545947883514,40,65,56,51,41,21,35,28,7
train_day_0083,train,55.770348837209305,13.2751360478006,6.0145348837209305,2.4547813604989126,55,44,62,46,38,19,28,31,21
train_day_0084,train,54.44476744186046,13.589598298796801,5.555232558139535,2.1599893554562146,66,54,48,34,47,31,11,35,18
train_day_0085,train,52.968023255813954,14.352360661493938,5.537790697674419,2.0456339786963813,40,38,52,30,33,44,60,24,23
train_day_0086,train,56.13662790697674,14.094219754546677,6.270348837209302,2.3905443321331643,53,32,70,22,75,22,34,27,9
train_day_0087,train,56.95348837209303,14.173679321392832,5.6395348837209305,2.339811116893117,56,62,33,40,43,23,37,23,27
train_day_0088,train,55.979651162790695,13.98700160262381,5.593023255813954,2.1451833931290913,44,21,55,41,67,32,47,23,14
train_day_0089,train,56.95348837209303,14.164446957036551,5.811046511627907,2.3886346830353653,57,56,60,33,46,30,28,0,34
train_day_0090,train,56.03779069767442,14.220901412338401,5.619186046511628,2.247164474329599,50,29,45,40,56,40,57,18,9
train_day_0091,train,55.395348837209305,14.525462062672105,5.84593023255814,2.509768301131613,59,38,48,57,42,31,33,31,5
train_day_0092,train,56.34593023255814,14.13204283179837,5.6686046511627906,2.225787638374595,33,16,63,49,62,29,43,28,21
train_day_0093,train,57.17732558139535,14.061759865745957,5.578488372093023,2.138979879354501,59,49,44,12,36,64,37,26,17
train_day_0094,train,53.723837209302324,10.829917183711856,5.787790697674419,2.3111891136346316,76,54,51,51,17,40,2,23,30
train_day_0095,train,53.383720930232556,13.529828033637179,5.744186046511628,2.414520254296897,49,40,48,67,49,20,43,10,18
train_day_0096,train,56.86918604651163,14.120032916747675,6.122093023255814,2.4547486568059997,47,41,52,32,49,18,34,43,28
train_day_0097,train,57.81686046511628,13.856140252662724,5.584302325581396,2.199071707270029,53,27,54,31,49,41,33,21,35
train_day_0098,train,54.43604651162791,13.200003636281192,5.9273255813953485,2.432330170184026,65,35,57,43,56,32,16,21,19
train_day_0099,train,55.83720930232558,12.827441936357035,5.738372093023256,2.33928376062195,94,52,67,20,17,32,34,19,9
train_day_0100,train,55.97093023255814,12.070012487990589,5.930232558139535,2.4041664303842363,60,27,54,27,65,40,34,15,22
train_day_0101,train,53.604651162790695,11.304998966054734,5.424418604651163,2.220435534823074,67,64,32,51,21,34,17,33,25
train_day_0102,train,51.854651162790695,14.66929364492726,5.348837209302325,1.8678270042177982,59,57,54,44,31,30,36,22,11
train_day_0103,train,53.59011627906977,12.042705791356727,5.363372093023256,2.1003726748305143,61,41,68,42,10,31,37,37,17
train_day_0104,train,54.241279069767444,12.125191659622754,5.938953488372093,2.4481352794880182,92,50,78,34,14,34,22,14,6
train_day_0105,train,57.61046511627907,14.905107046336052,5.7354651162790695,2.245750072541023,32,60,53,52,41,7,30,47,22
train_day_0106,train,56.68023255813954,12.978607799414888,5.7063953488372094,2.343562391085119,62,45,35,28,43,55,36,30,10
train_day_0107,train,52.04360465116279,14.107595876870539,5.383720930232558,2.137258647607076,85,41,57,34,16,57,36,6,12
train_day_0108,train,55.68313953488372,14.68253809894739,5.747093023255814,2.3246636997484322,44,46,32,43,50,51,43,25,10
train_day_0109,train,57.979651162790695,13.825622652841997,5.755813953488372,2.3199641462327176,59,70,74,32,32,20,21,0,36
train_day_0110,train,57.66279069767442,14.342861821661055,5.7645348837209305,2.4553733941291043,41,60,35,60,34,20,74,0,20
train_day_0111,train,56.10174418604651,14.704594970174622,5.453488372093023,2.1166943114215444,48,21,49,66,46,28,55,17,14
train_day_0112,train,57.81976744186046,14.55251372649654,5.633720930232558,2.363634886273351,49,66,30,39,56,19,65,2,18
train_day_0113,train,55.752906976744185,12.805567136562953,5.5726744186046515,2.129651638953911,65,53,69,39,23,26,27,33,9
train_day_0114,train,55.05232558139535,13.516684149806293,5.578488372093023,2.3376847109916956,59,63,60,39,17,49,19,9,29
train_day_0115,train,55.27906976744186,14.999535777925665,5.546511627906977,2.2844620594414744,56,70,32,37,30,28,30,37,24
train_day_0116,train,57.81395348837209,14.357367145360389,5.575581395348837,2.0700205619982928,51,26,45,21,42,63,27,21,48
train_day_0117,train,57.656976744186046,14.866804294457223,6.3604651162790695,2.4455122196024672,41,31,79,22,67,22,45,25,12
train_day_0118,train,55.9156976744186,13.770392408039429,5.77906976744186,2.4561321587363767,48,71,42,60,38,22,15,32,16
train_day_0119,train,56.83139534883721,13.199081730109786,6.162790697674419,2.585111509071141,53,44,48,29,51,39,31,41,8
train_day_0120,train,55.76162790697674,13.06584993635015,5.671511627906977,2.1926680240789485,65,41,33,32,56,37,35,23,22
train_day_0121,train,58.0843023255814,12.901973351922393,5.7645348837209305,2.3649126818910613,80,27,42,26,43,40,40,19,27
train_day_0122,train,53.9156976744186,12.33973483947687,5.924418604651163,2.379683194007117,63,46,25,45,62,44,12,31,16
train_day_0123,train,55.65988372093023,13.981841046737966,5.90406976744186,2.58339639338702,63,82,36,50,55,10,9,28,11
train_day_0124,train,56.41279069767442,14.045956933064222,5.892441860465116,2.6463117976422814,62,59,63,48,41,20,32,0,19
train_day_0125,train,55.616279069767444,12.53846973773038,5.683139534883721,2.2699133072411555,58,53,69,45,21,40,30,22,6
train_day_0126,train,55.02325581395349,12.713275193429173,5.825581395348837,2.5008922150468167,59,45,70,25,15,59,21,13,37
train_day_0127,train,57.44476744186046,13.462798719602153,5.674418604651163,2.380599203762824,59,56,66,28,14,70,17,11,23
train_day_0128,train,53.73837209302326,10.964855788663977,5.718023255813954,2.4445289267827803,53,83,42,53,32,15,8,22,36
train_day_0129,train,56.122093023255815,13.369619336415266,5.738372093023256,2.3689203018317233,49,61,33,40,66,24,18,21,32
train_day_0130,train,53.7093023255814,13.371147590440524,5.9476744186046515,2.607601889653976,103,47,48,23,9,45,22,30,17
train_day_0131,train,56.127906976744185,14.178510197944183,5.616279069767442,2.331127108619062,36,59,37,51,42,29,74,3,13
train_day_0132,train,56.56395348837209,12.757874110203083,5.8604651162790695,2.4797448794962307,65,52,43,41,63,25,35,11,9
train_day_0133,train,54.71511627906977,14.624970820418996,6.122093023255814,2.4153530803952,23,58,65,54,31,31,33,32,17
train_day_0134,train,57.26453488372093,13.975573304958603,5.767441860465116,2.4621526722572495,58,54,50,49,42,32,41,0,18
train_day_0135,train,55.354651162790695,14.49646434019981,6.465116279069767,2.5629183693349513,48,34,87,26,66,19,31,26,7
train_day_0136,train,56.343023255813954,15.443023868684575,5.549418604651163,2.242014176796434,39,76,47,49,36,6,39,35,17
train_day_0137,train,58.06104651162791,13.410309079304914,5.776162790697675,2.3549579903450266,39,48,42,59,55,12,57,3,29
train_day_0138,train,53.19767441860465,11.24445058730198,5.784883720930233,2.498884283214768,62,52,36,59,14,36,21,34,30
train_day_0139,train,55.883720930232556,13.908687769052971,5.924418604651163,2.4411889995956666,51,37,51,61,43,24,38,29,10
train_day_0140,train,54.23255813953488,11.595582978820547,5.973837209302325,2.6063231111175953,56,69,47,34,21,27,36,29,25
train_day_0141,train,55.80232558139535,13.173104883287378,5.752906976744186,2.3352687043634255,60,25,57,21,58,36,45,17,25
train_day_0142,train,54.47093023255814,13.805302034035563,5.409883720930233,2.0383007025267488,61,49,56,47,20,43,31,28,9
train_day_0143,train,56.09011627906977,13.552246702453198,5.680232558139535,2.4213353882095277,72,44,69,38,11,30,16,38,26
train_day_0144,train,55.575581395348834,14.590140315617985,5.924418604651163,2.458986180130436,59,52,48,51,34,20,31,36,13
train_day_0145,train,52.299418604651166,13.473073910292781,5.476744186046512,2.3088643346794044,102,57,43,35,28,44,26,2,7
train_day_0146,train,53.47093023255814,12.741813297620224,5.816860465116279,2.4265142774501762,76,63,72,24,26,38,16,12,17
train_day_0147,train,54.645348837209305,15.2927567364175,5.398255813953488,2.1407174910341826,51,82,38,41,32,22,35,29,14
train_day_0148,train,54.80813953488372,13.275188564475853,5.976744186046512,2.6235815400612044,61,33,60,32,47,44,29,16,22
train_day_0149,train,53.82848837209303,13.259581969053581,5.851744186046512,2.365841554318593,73,45,35,32,19,75,16,20,29
train_day_0150,train,56.19767441860465,14.42931428969308,6.200581395348837,2.729660450240534,45,65,49,66,19,14,31,39,16
train_day_0151,train,51.94186046511628,14.780451145805843,5.741279069767442,2.3673983839156807,97,66,33,46,14,36,32,8,12
train_day_0152,train,54.56686046511628,14.792996281366733,5.790697674418604,2.4369552059980712,36,53,49,50,42,22,54,31,7
train_day_0153,train,54.7093023255814,12.845111529719189,5.976744186046512,2.5890051253735256,45,14,63,46,64,40,19,26,27
train_day_0154,train,54.991279069767444,13.498166739995648,5.357558139534884,2.0707124018730747,82,35,51,36,14,53,24,25,24
train_day_0155,train,53.88662790697674,15.315915351280617,5.895348837209302,2.691628148094556,61,73,38,78,27,16,13,30,8
train_day_0156,train,51.97093023255814,13.104644714304763,5.924418604651163,2.4660690896653126,42,44,54,36,40,47,30,38,13
train_day_0157,train,55.63081395348837,13.93278229907055,5.9854651162790695,2.3370917909831443,40,50,57,54,43,19,31,30,20
train_day_0158,train,54.22674418604651,13.228131795345265,5.563953488372093,2.2584421874636815,35,55,58,55,61,20,32,10,18
train_day_0159,train,54.497093023255815,14.429056308993003,5.6686046511627906,2.159498306719075,82,55,39,48,14,49,26,3,28
train_day_0160,train,56.45348837209303,15.00709675278797,5.767441860465116,2.2447583316584496,55,53,39,66,33,24,34,34,6
train_day_0161,train,55.343023255813954,14.554381108950508,5.752906976744186,2.2670523666662707,47,50,56,60,44,16,25,26,20
train_day_0162,train,55.43604651162791,13.145495406648195,5.636627906976744,2.3708369194771883,69,65,61,28,41,31,26,0,23
train_day_0163,train,52.718023255813954,11.497680283710967,5.540697674418604,2.438445840674254,63,61,30,58,20,33,24,28,27
train_day_0164,train,52.66279069767442,13.271415747121207,5.59593023255814,2.3444853047032974,58,59,27,41,42,41,27,35,14
train_day_0165,train,54.33139534883721,13.241739519219598,6.017441860465116,2.4111510259367015,54,50,53,55,33,33,24,34,8
train_day_0166,train,54.883720930232556,12.92569876177917,5.5523255813953485,2.3359290141425606,77,49,57,24,12,54,26,24,21
train_day_0167,train,55.20639534883721,14.093576997621481,6.398255813953488,2.588233074162203,44,35,77,25,57,41,28,23,14
train_day_0168,train,55.5843023255814,13.421775438018594,5.465116279069767,2.1751646525145962,65,46,46,19,15,91,18,18,26
train_day_0169,train,57.2093023255814,13.46085304241635,5.578488372093023,2.050156555248302,58,35,53,22,46,49,33,23,25
train_day_0170,train,55.01744186046512,13.807848222141262,5.872093023255814,2.3737739142550702,61,55,37,38,60,42,12,18,21
train_day_0171,train,52.258720930232556,13.564657162839607,5.805232558139535,2.4941504713676936,66,25,59,39,34,37,49,18,17
train_day_0172,train,56.91279069767442,13.159948898179817,6.040697674418604,2.3951442111739687,73,37,44,15,59,28,35,21,32
train_day_0173,train,53.59011627906977,13.359432517729992,5.726744186046512,2.457968740628745,104,39,47,22,11,48,28,36,9
train_day_0174,train,54.36046511627907,10.934969285372453,5.886627906976744,2.435552136658953,86,49,67,52,16,37,9,28,0
train_day_0175,train,55.05523255813954,13.292543654484714,5.9186046511627906,2.545927510792663,50,32,70,45,35,20,43,34,15
train_day_0176,train,59.122093023255815,14.191267386595825,5.7645348837209305,2.4458836596800966,46,24,48,45,54,50,28,11,38
train_day_0177,train,54.9156976744186,14.259896118273375,5.729651162790698,2.3389134565824294,40,44,45,36,64,29,35,30,21
train_day_0178,train,58.04360465116279,13.343226869298137,5.575581395348837,2.258082951414279,63,76,47,34,34,23,37,0,30
train_day_0179,train,55.38662790697674,14.827847239072424,5.7354651162790695,2.458331423611961,58,60,54,44,47,19,32,26,4
train_day_0180,train,57.53488372093023,12.908621307337459,5.732558139534884,2.280730292082877,14,52,55,71,42,33,38,16,23
train_day_0181,train,55.968023255813954,15.07969606131983,5.662790697674419,2.26505539290692,50,67,50,26,54,21,38,26,12
train_day_0182,train,56.42732558139535,13.530777055705487,5.40406976744186,2.046575629945298,65,46,44,27,9,94,18,15,26
train_day_0183,train,53.63953488372093,16.160469132248746,5.965116279069767,2.6090079840617166,52,80,46,64,32,11,36,16,7
train_day_0184,train,54.94476744186046,13.273065770420814,6.002906976744186,2.4310235026458384,61,53,62,41,43,24,13,28,19
train_day_0185,train,55.5843023255814,13.496721741558739,5.587209302325581,2.2832706300712635,65,45,56,16,17,88,19,16,22
train_day_0186,train,57.17151162790697,13.717973358474579,5.953488372093023,2.484402397583895,57,49,59,42,32,17,39,27,22
train_day_0187,train,55.723837209302324,12.510549563952171,5.546511627906977,2.27425928009992,84,47,73,23,20,29,27,27,14
train_day_0188,train,55.01453488372093,12.105751002800545,5.77906976744186,2.388933608501956,83,44,80,27,18,20,23,33,16
train_day_0189,train,53.80523255813954,12.414117828405876,5.848837209302325,2.460229909186808,103,57,64,30,24,26,16,23,1
train_day_0190,train,57.43313953488372,13.145038657459757,5.811046511627907,2.279023418489313,59,49,48,17,44,56,31,18,22
train_day_0191,train,54.85755813953488,15.423104492184846,5.880813953488372,2.3772867645144395,64,55,44,67,37,19,26,25,7
train_day_0192,train,59.08139534883721,13.978567578309795,5.683139534883721,2.3664701225654916,47,50,34,60,39,13,69,10,22
train_day_0193,train,54.02325581395349,16.207037478153747,5.604651162790698,2.3416306670007083,48,44,39,79,36,17,41,30,10
train_day_0194,train,56.32267441860465,14.866771042145574,5.334302325581396,2.0675758419191337,50,63,68,48,31,17,31,33,3
train_day_0195,train,56.383720930232556,15.625648715576105,5.973837209302325,2.8236771624400046,59,75,49,70,24,13,22,28,4
train_day_0196,train,55.2093023255814,12.6561100962762,5.72093023255814,2.385280261387551,48,60,59,43,57,25,39,1,12
train_day_0197,train,55.75,13.526943397324416,6.5726744186046515,2.6894405592806345,44,16,79,32,59,34,22,39,19
train_day_0198,train,57.66279069767442,14.022706225491037,5.718023255813954,2.3635115379783618,70,47,46,25,14,73,23,18,28
train_day_0199,train,56.848837209302324,12.640620607612279,5.482558139534884,2.1579324655071024,92,42,62,33,14,27,21,36,17
train_day_0200,train,52.049418604651166,12.113100716344475,5.784883720930233,2.393111113265046,94,63,73,40,22,16,11,21,4
train_day_0201,train,57.491279069767444,14.516627779374616,5.712209302325581,2.4414711068318753,63,67,38,51,27,13,28,42,15
train_day_0202,train,56.718023255813954,12.56976441656053,5.6686046511627906,2.3378961735111123,85,42,82,32,12,33,10,32,16
train_day_0203,train,49.89244186046512,13.812176582432407,5.680232558139535,2.1491112152897425,52,58,44,24,39,47,26,39,15
train_day_0204,train,55.401162790697676,13.691433361234575,6.084302325581396,2.603974618842509,82,39,41,26,9,78,21,22,26
train_day_0205,train,57.84593023255814,14.125973345999089,5.747093023255814,2.372931836984489,53,62,26,34,61,35,22,22,29
train_day_0206,train,57.14825581395349,12.174057309558703,5.738372093023256,2.200986491545413,34,49,48,52,37,35,41,23,25
train_day_0207,train,53.11046511627907,12.054117593024284,5.558139534883721,2.2547348174029436,95,57,55,31,21,46,12,27,0
train_day_0208,train,54.55523255813954,14.859707360944004,5.709302325581396,2.381450989538938,50,56,58,32,52,22,35,28,11
train_day_0209,train,58.23255813953488,13.044355830677016,5.601744186046512,2.1837394276899413,83,49,72,20,10,37,26,34,13
train_day_0210,train,56.75,13.620318696541165,5.5523255813953485,2.1854820523109995,57,80,49,48,34,19,26,25,6
train_day_0211,train,55.89244186046512,13.563483417227689,6.0523255813953485,2.3680640088077665,49,41,63,48,67,30,30,0,16
train_day_0212,train,55.77325581395349,15.547406307421427,5.718023255813954,2.384328836268011,40,44,49,41,52,27,39,21,31
train_day_0213,train,58.06976744186046,13.468775861292318,5.808139534883721,2.3060443891469355,38,49,40,47,43,32,28,32,35
train_day_0214,train,55.98546511627907,12.933295696548678,6.4186046511627906,2.6576572839717567,59,53,35,39,47,36,26,28,21
train_day_0215,train,54.70639534883721,15.95955516171984,5.7936046511627906,2.3154849875177828,31,52,41,64,32,16,52,45,11
train_day_0216,train,53.901162790697676,13.378723078308234,5.729651162790698,2.4363153401093496,88,35,48,37,17,47,23,34,15
train_day_0217,train,57.22093023255814,15.662799330119684,6.273255813953488,2.714257122171165,57,65,50,57,24,13,25,40,13
train_day_0218,train,49.71220930232558,13.934909809469632,5.741279069767442,2.3784239928074067,54,67,67,41,27,19,31,26,12
train_day_0219,train,55.75581395348837,13.379249854272889,5.930232558139535,2.4234354707316705,85,41,46,20,17,73,24,14,24
train_day_0220,train,54.718023255813954,13.454018187694263,6.078488372093023,2.498185861520716,54,26,54,50,52,19,35,38,16
train_day_0221,train,52.401162790697676,14.420656971342433,5.781976744186046,2.5108186007696363,92,74,40,36,11,45,22,7,17
train_day_0222,train,54.86918604651163,13.359422396920467,5.959302325581396,2.5124285437936362,51,35,35,42,38,48,45,38,12
train_day_0223,train,57.93313953488372,13.389020819888724,5.601744186046512,2.328063718789773,48,47,41,27,47,43,25,14,52
train_day_0224,train,55.450581395348834,13.796397394150702,5.767441860465116,2.2421668226457374,46,22,47,58,72,31,33,20,15
train_day_0225,train,55.06395348837209,12.208055030419205,5.662790697674419,2.3233419450011743,37,53,55,39,72,23,24,23,18
train_day_0226,train,56.39244186046512,13.889934906677428,5.837209302325581,2.3233419450011743,52,57,71,33,41,25,44,0,21
train_day_0227,train,54.05813953488372,14.30287387869418,5.973837209302325,2.5039297804835123,49,47,39,39,55,29,30,32,24
train_day_0228,train,56.218023255813954,13.716041391061768,5.406976744186046,2.012333523241486,54,40,51,36,10,97,28,10,18
train_day_0229,train,53.59011627906977,11.32644651619181,5.462209302325581,2.0920035468214357,86,47,72,34,20,43,11,31,0
train_day_0230,train,55.94767441860465,14.46658721863805,5.767441860465116,2.2832780321724266,48,68,62,34,42,25,40,0,25
