Source_Date,Split,Day_Type,Season,Eligible_Sessions
2019-04-29,train,weekday,spring,22
2019-04-30,train,weekday,spring,14
2019-05-01,train,weekday,spring,26
2019-05-02,val,weekday,spring,17
2019-05-03,train,weekday,spring,19
2019-05-04,train,weekend,spring,24
2019-05-05,train,weekend,spring,21
2019-05-06,train,weekday,spring,28
2019-05-07,train,weekday,spring,17
2019-05-08,train,weekday,spring,29
2019-05-09,train,weekday,spring,22
2019-05-10,test,weekday,spring,18
2019-05-11,train,weekend,spring,21
2019-05-12,train,weekend,spring,12
2019-05-13,train,weekday,spring,18
2019-05-14,val,weekday,spring,20
2019-05-15,test,weekday,spring,19
2019-05-16,train,weekday,spring,22
2019-05-17,train,weekday,spring,31
2019-05-18,val,weekend,spring,20
2019-05-19,train,weekend,spring,19
2019-05-20,test,weekday,spring,25
2019-05-21,train,weekday,spring,18
2019-05-22,train,weekday,spring,25
2019-05-23,val,weekday,spring,29
2019-05-24,test,weekday,spring,17
2019-05-25,test,weekend,spring,22
2019-05-26,train,weekend,spring,18
2019-05-27,train,weekday,spring,17
2019-05-28,train,weekday,spring,22
2019-05-29,train,weekday,spring,26
2019-05-30,train,weekday,spring,20
2019-05-31,train,weekday,spring,20
2019-06-01,train,weekend,summer,16
2019-06-02,train,weekend,summer,13
2019-06-03,train,weekday,summer,14
2019-06-04,val,weekday,summer,16
2019-06-05,train,weekday,summer,20
2019-06-06,train,weekday,summer,24
2019-06-07,train,weekday,summer,21
2019-06-08,test,weekend,summer,33
2019-06-09,train,weekend,summer,26
2019-06-10,train,weekday,summer,23
2019-06-11,train,weekday,summer,18
2019-06-12,train,weekday,summer,18
2019-06-13,train,weekday,summer,26
2019-06-14,val,weekday,summer,12
2019-06-15,train,weekend,summer,19
2019-06-16,val,weekend,summer,14
2019-06-17,val,weekday,summer,14
2019-06-18,test,weekday,summer,21
2019-06-19,test,weekday,summer,15
2019-06-20,train,weekday,summer,24
2019-06-21,train,weekday,summer,24
2019-06-22,train,weekend,summer,16
2019-06-23,val,weekend,summer,17
2019-06-24,train,weekday,summer,22
2019-06-25,train,weekday,summer,24
2019-06-26,test,weekday,summer,19
2019-06-27,train,weekday,summer,26
2019-06-28,train,weekday,summer,18
2019-06-29,train,weekend,summer,21
2019-06-30,train,weekend,summer,17
2019-07-01,test,weekday,summer,11
2019-07-02,train,weekday,summer,22
2019-07-03,train,weekday,summer,19
2019-07-04,train,weekday,summer,23
2019-07-05,train,weekday,summer,21
2019-07-06,test,weekend,summer,23
2019-07-07,train,weekend,summer,16
2019-07-08,train,weekday,summer,21
2019-07-09,test,weekday,summer,25
2019-07-10,train,weekday,summer,19
2019-07-11,train,weekday,summer,19
2019-07-12,test,weekday,summer,28
2019-07-13,val,weekend,summer,27
2019-07-14,train,weekend,summer,24
2019-07-15,train,weekday,summer,22
2019-07-16,train,weekday,summer,23
2019-07-17,train,weekday,summer,24
2019-07-18,val,weekday,summer,26
2019-07-19,train,weekday,summer,17
2019-07-20,train,weekend,summer,23
2019-07-21,train,weekend,summer,17
2019-07-22,train,weekday,summer,25
2019-07-23,test,weekday,summer,20
2019-07-24,val,weekday,summer,19
2019-07-25,val,weekday,summer,15
2019-07-26,train,weekday,summer,20
2019-07-27,train,weekend,summer,21
2019-07-28,train,weekend,summer,24
2019-07-29,train,weekday,summer,23
2019-07-30,train,weekday,summer,25
2019-07-31,train,weekday,summer,23
2019-08-01,train,weekday,summer,23
2019-08-02,train,weekday,summer,33
2019-08-03,train,weekend,summer,29
2019-08-04,val,weekend,summer,22
2019-08-05,train,weekday,summer,26
2019-08-06,train,weekday,summer,21
2019-08-07,train,weekday,summer,23
2019-08-08,test,weekday,summer,16
2019-08-09,train,weekday,summer,21
2019-08-10,test,weekend,summer,24
2019-08-11,test,weekend,summer,26
2019-08-12,train,weekday,summer,19
2019-08-13,train,weekday,summer,18
2019-08-14,train,weekday,summer,16
2019-08-15,train,weekday,summer,26
2019-08-16,train,weekday,summer,21
2019-08-17,train,weekend,summer,19
2019-08-18,train,weekend,summer,27
2019-08-19,test,weekday,summer,18
2019-08-20,train,weekday,summer,22
2019-08-21,train,weekday,summer,25
2019-08-22,train,weekday,summer,20
2019-08-23,val,weekday,summer,25
2019-08-24,train,weekend,summer,28
2019-08-25,train,weekend,summer,20
2019-08-26,train,weekday,summer,23
2019-08-27,val,weekday,summer,18
2019-08-28,test,weekday,summer,25
2019-08-29,test,weekday,summer,22
2019-08-30,val,weekday,summer,19
2019-08-31,train,weekend,summer,31
